"neo","pha","sats","e","a","i","om","w","moid_jup"
"N","N",0,0.3627,2.074,3.49,18.71,303.35,2.51
"N","N",0,0.4625,2.614,27.96,106.39,240.76,2.13
"N","N",0,0.3382,2.316,4.98,188.48,123.75,2.22
"N","N",0,0.2901,2.345,13.01,37.45,274.88,2.42
"N","N",0,0.2824,2.296,20.83,344.97,91.33,2.62
"N","N",0,0.2668,2.265,6.42,170.05,184.35,2.57
"N","N",0,0.3413,2.409,20.41,324.4,93.01,2.53
"N","N",0,0.2737,2.276,6.4,15.18,359.52,2.56
"N","N",0,0.4239,2.669,5.12,130.69,144.21,1.36
"N","N",0,0.329,2.342,4.5,195.14,319.69,1.91
"N","N",0,0.2834,2.297,22.72,141.77,122.15,2.48
"N","N",0,0.3018,2.305,22.75,158.05,123.4,2.52
"N","N",0,0.4984,2.96,8.5,294.65,43.9,1.11
"N","N",0,0.3802,2.431,3.49,130.34,196.3,2
"N","N",0,0.292,2.328,8.81,133.55,228.91,2.46
"N","N",0,0.3346,2.169,5.66,210.32,101.95,2.43
"N","N",0,0.2779,2.253,8.96,129.7,188.45,2.43
"N","N",0,0.2895,2.176,6.86,2.84,291.06,2.44
"N","N",0,0.2868,2.253,0.36,81.1,243.23,2.43
"N","N",0,0.3193,2.431,6.9,312.73,100.87,2.24
"N","N",0,0.2796,2.271,6.67,223.6,104.93,2.5
"N","N",0,0.4249,2.716,18.71,129.41,205.03,1.56
"Y","N",0,0.3403,1.844,10.53,203.07,196.39,2.96
"N","N",0,0.4123,2.584,26.65,195.69,99.87,2.46
"N","N",0,0.2456,2.17,3.73,167,171.67,2.68
"N","N",0,0.335,2.432,19.99,48.25,69.97,2.3
"Y","Y",0,0.598,2.121,3.83,100.83,42.79,1.66
"N","N",0,0.2558,2.197,7.34,11.14,283.9,2.49
"N","N",0,0.387,2.628,8.01,166.11,205.07,1.82
"N","N",0,0.3227,2.367,4.64,8.72,321.04,2.24
"N","N",0,0.2872,2.29,5.09,27.33,285.34,2.36
"N","N",0,0.336,2.356,5.4,55.16,273.71,2.24
"Y","N",0,0.799,1.053,45.12,88.59,299.23,4.01
"N","N",0,0.2676,2.221,2.59,215.97,156.03,2.65
"N","N",0,0.2435,2.194,4.81,0.81,343.22,2.67
"Y","N",0,0.3002,1.828,24.7,27.08,267.63,3.09
"Y","N",0,0.2739,1.685,35.19,218.57,253.75,3.41
"N","N",0,0.3351,2.308,7.45,206.11,110.76,2.3
"N","N",0,0.3257,2.378,8.61,49.63,292.79,2.31
"N","N",0,0.2994,2.362,12.17,57.65,276.91,2.44
"N","N",0,0.3305,2.163,3.97,68.48,305.99,2.58
"Y","Y",1,0.3767,1.365,8.67,358.62,289.83,3.33
"Y","N",0,0.3109,1.857,36.92,111.58,338.65,2.79
"N","N",0,0.3746,2.348,21.33,198.33,100.33,2.51
"N","N",0,0.3053,2.355,5.37,186.53,110.77,2.18
"N","N",0,0.3224,2.277,0.59,345.35,348.35,2.36
"N","N",0,0.288,2.256,4.53,318.46,44.54,2.56
"N","N",0,0.2614,2.216,6.08,209.89,104,2.52
"N","N",0,0.295,2.188,8.09,293.66,357.37,2.36
"N","N",0,0.2831,2.158,8.01,141.01,242.49,2.72
"Y","N",0,0.4526,1.574,13.06,200.71,150.35,3.18
"Y","N",0,0.6767,1.205,21.96,190.06,161.15,3.45
"Y","Y",0,0.6734,2.429,7.77,261.47,54.61,1.37
"Y","N",0,0.1355,0.9596,30,329.78,347.04,4.15
"Y","Y",0,0.3222,1.355,6.03,110.79,244.02,3.64
"N","N",0,0.2455,2.123,4.31,186.29,113.81,2.59
"N","N",0,0.2757,2.207,6.95,94.28,214.57,2.45
"N","N",0,0.3431,2.255,7.1,189.93,127.54,2.33
"N","N",0,0.3087,2.277,3.71,223.54,138.05,2.48
"N","N",0,0.2602,2.187,1.28,296.02,39.94,2.62
"N","N",0,0.3426,2.316,22.45,317.29,224,2.09
"N","N",0,0.2979,2.287,5.04,353.69,331.18,2.38
"N","N",0,0.2473,2.184,3.56,208.89,161.69,2.74
"N","N",0,0.2874,2.239,7.87,138.25,253.84,2.6
"Y","N",0,0.3907,0.8189,40.86,69.38,306.91,4.38
"N","N",0,0.288,2.17,6.83,233.97,86.49,2.56
"N","N",0,0.2609,2.241,8.9,73.35,250.68,2.54
"N","N",0,0.3819,2.629,5.24,279.25,239.63,1.43
"N","N",0,0.2146,1.97,25.92,210.35,92.82,3
"N","N",0,0.2705,1.929,68.99,240.29,155.53,3
"Y","N",0,0.5726,2.553,24.7,302.81,21.51,1.45
"N","N",0,0.3111,2.292,7.42,318.62,1.24,2.31
"Y","N",0,0.7934,2.168,8.04,27.14,36.75,1.54
"Y","N",0,0.2322,1.5,18.7,254.41,130.43,3.63
"N","N",0,0.3149,2.224,5.1,284.22,299.15,2.09
"N","N",0,0.2745,2.23,8.78,335.09,307.59,2.37
"N","N",0,0.2644,2.246,5.86,235.26,117.05,2.63
"Y","Y",0,0.3824,1.373,13.09,130.03,63.76,3.11
"N","N",0,0.3659,2.576,17.08,44.76,269.57,2.16
"Y","N",0,0.5113,2.572,26.22,257.21,91.36,2.59
"Y","N",0,0.3875,1.928,12.85,35.02,287.64,2.77
"N","N",0,0.2942,2.337,5.55,249.3,114.55,2.47
"N","N",0,0.2833,2.308,6.4,153.45,229.89,2.51
"N","N",0,0.3506,2.54,9.8,269.98,95.1,2.19
"N","N",0,0.2682,2.14,6.51,200.2,95.88,2.53
"N","N",0,0.2632,2.151,5.64,170.83,140.16,2.57
"N","N",0,0.3031,2.125,3.87,260.25,80.75,2.65
"Y","N",0,0.5702,1.844,43.08,268.9,273.72,3.29
"Y","N",0,0.5885,2.73,16.74,202.07,203.96,1.17
"N","N",0,0.3137,2.364,12.7,276.15,42.79,2.25
"N","N",0,0.2448,2.198,5.14,164.76,110.93,2.4
"N","N",0,0.1681,1.926,21.96,299.92,82.86,3.28
"Y","N",0,0.5357,2.557,30.15,194.45,235.05,2.13
"Y","N",0,0.6932,1.206,12.62,290.52,201.57,3.05
"N","N",0,0.3071,2.369,20.97,309.47,99.44,2.61
"Y","N",0,0.1914,1.463,10.72,204.9,126.62,3.59
"N","N",0,0.1381,1.643,5.33,237.73,61.86,3.28
"Y","Y",0,0.8056,1.406,21.57,288.39,224.33,2.67
"Y","N",0,0.377,1.845,26.96,223.47,173.21,2.9
"N","N",0,0.3683,2.595,6.91,147.75,203.57,1.88
"Y","N",0,0.8896,2.47,29.73,225.45,20.07,0.732
"Y","N",0,0.6884,2.018,6.22,259.69,217.09,1.76
"Y","N",0,0.4525,2.239,3.98,304.62,56.26,2.22
"Y","N",1,0.4715,2.115,4.21,193.1,91.63,2.09
"Y","N",1,0.4862,2.053,4.09,325.7,105.53,2.3
"N","N",0,0.2525,2.177,4.89,280.39,49.23,2.63
"N","N",0,0.3397,2.174,7.52,3.95,301.24,2.39
"N","N",0,0.2499,2.207,7.11,216.05,170.27,2.7
"N","N",0,0.2899,2.254,5.56,339.07,351.01,2.45
"N","N",0,0.2854,2.256,7.2,47.27,302.6,2.55
"N","N",0,0.2301,2.151,24.44,125.4,317.81,2.63
"Y","N",0,0.2346,1.319,5.28,189.74,232.39,3.68
"N","N",0,0.2165,1.932,25.58,230.7,147.31,3.14
"N","N",0,0.3613,2.545,6.18,313.39,37.84,2
"N","N",0,0.371,2.624,28.06,178.79,282.89,2.22
"N","N",0,0.2702,2.204,3.43,122.3,218.97,2.6
"N","N",0,0.2816,2.281,23.89,312.18,117.94,2.54
"Y","N",0,0.3647,1.75,13.96,178.54,130.51,2.98
"Y","N",0,0.7921,1.268,20.08,349.96,199.65,2.72
"N","N",0,0.2981,2.322,5.7,202.13,101.61,2.27
"N","N",0,0.3053,2.387,21.49,206.37,248.22,2.52
"N","N",0,0.1347,1.906,21.03,354.3,58.47,3.2
"Y","N",0,0.6406,2.116,32.14,349.26,259.5,2.68
"N","N",0,0.2726,2.184,21.74,151.43,181.69,2.6
"N","N",0,0.3138,2.325,8.5,184.72,107.97,2.22
"N","N",0,0.3849,2.545,18.22,182.26,125.1,2.1
"N","N",0,0.3228,2.186,7.87,171.55,123.76,2.37
"N","N",0,0.3008,2.261,22.34,317.24,94.69,2.76
"N","N",0,0.3323,2.39,21.44,67.37,76.39,2.32
"N","N",0,0.2437,2.124,6.06,205.09,27.05,2.35
"N","N",0,0.2897,2.236,5.92,297.6,43.66,2.53
"N","N",0,0.3381,2.225,5.3,20.38,259.27,2.2
"Y","Y",0,0.2266,1.075,10.06,228.11,75.98,3.86
"Y","Y",0,0.4077,1.452,24.76,68.68,110.74,3.13
"Y","N",0,0.7703,2.641,6.81,309.85,300.1,0.67
"N","N",0,0.3797,2.672,11.28,255.1,76.78,1.9
"N","N",0,0.3013,2.213,5.46,356.66,211.46,2.1
"Y","N",0,0.7014,1.935,13.13,227.19,191.85,2.09
"N","N",0,0.3586,2.421,9.53,28.89,29.83,2.13
"N","N",0,0.1413,1.937,26.88,38.16,62.87,3.11
"N","N",0,0.2049,1.921,21.84,185.97,255.04,3.12
"N","N",0,0.3647,2.542,25.15,232.95,121.5,2.42
"N","N",0,0.1702,1.907,24.37,52.79,291.08,3.24
"N","N",0,0.1719,1.911,22.56,206.57,105.39,3.12
"N","N",0,0.308,2.224,7.82,55.46,260.31,2.43
"N","N",0,0.302,2.22,6.3,121.28,194,2.41
"N","N",0,0.2742,2.265,3.99,141.35,194.52,2.49
"N","N",0,0.2882,2.276,4.29,315.42,32.92,2.5
"N","N",0,0.3413,2.228,7.41,249.05,141.35,2.49
"N","N",0,0.2928,2.281,22.69,10.6,245.99,2.37
"Y","Y",0,0.4246,1.449,4.26,184.89,101.67,3.12
"Y","N",0,0.2478,1.433,26.68,35.1,200.43,3.21
"N","N",0,0.2767,2.278,4.46,196.99,130.58,2.46
"N","N",0,0.2923,2.299,3.77,334.2,38.16,2.5
"N","N",0,0.2996,2.296,21.14,190.05,249.16,2.67
"N","N",0,0.2905,2.322,23.86,213.63,245.69,2.64
"Y","Y",0,0.7875,1.453,5.44,160.48,108.05,2.54
"Y","N",0,0.6138,2.301,13.69,248.23,280.41,1.67
"N","N",0,0.3724,2.41,4.11,313.7,158.2,1.84
"N","N",0,0.3136,2.295,20.88,304.93,69.35,2.75
"N","N",0,0.3324,2.371,22.8,70.59,117.51,2.12
"N","N",0,0.3324,2.426,23.46,174.19,309.84,2.07
"N","N",0,0.3018,2.344,25.81,87.88,345.33,2.26
"N","N",0,0.1577,1.906,23.69,187.49,296.01,2.93
"N","N",0,0.3375,2.065,4.83,57.62,308.85,2.7
"Y","Y",0,0.6647,2.117,59.33,33.51,251.11,3.06
"N","N",0,0.2982,2.148,25.29,64.94,283.38,3.03
"Y","N",0,0.6187,3.122,70.88,283,171.32,0.236
"N","N",0,0.2652,2.267,24.95,188.39,316.29,2.28
"Y","Y",0,0.5923,1.847,13.74,341.04,287.62,2.36
"N","N",0,0.1342,1.886,17.61,316.5,62.69,3.32
"N","N",0,0.3185,2.309,21,247.58,78.25,2.58
"Y","Y",0,0.466,1.845,42.72,338.03,162.23,2.36
"N","N",0,0.2647,2.256,3.52,45.97,274.35,2.47
"N","N",0,0.2674,2.263,3.85,240.61,42.62,2.29
"N","N",0,0.2655,2.256,7.53,51.4,230.66,2.31
"N","N",0,0.3471,2.404,22.04,39.67,278.73,2.58
"N","N",0,0.2961,2.28,6.97,286.53,348.22,2.18
"N","N",0,0.3891,2.658,27.25,350.55,77.97,2.53
"N","N",0,0.3252,2.388,21.96,200.48,243.65,2.5
"N","N",0,0.3912,2.622,6.78,101.02,253.15,1.83
"Y","N",0,0.5238,2.51,1.76,334.26,116.71,1.43
"Y","N",0,0.3354,1.654,25,73.78,26.42,3.08
"N","N",0,0.2824,2.227,6.03,16.57,335.43,2.58
"Y","Y",0,0.152,0.959,21.62,288.01,297.65,3.97
"Y","Y",0,0.7323,1.649,3.77,299.95,315.19,2.22
"N","N",0,0.127,1.887,21.26,285.08,67.97,3.24
"Y","Y",0,0.5694,1.684,2.29,245.44,86.96,2.74
"N","N",0,0.1256,1.893,19.68,356.68,42.56,3.25
"N","N",0,0.278,2.298,7,193.18,169.15,2.52
"N","N",0,0.2947,2.308,21.54,63.82,88.22,2.42
"N","N",0,0.3307,2.062,7.34,253.57,94.83,2.74
"N","N",0,0.1853,1.914,24.98,66.26,293.55,3.3
"N","N",0,0.1343,1.901,18.99,294.1,117.76,3.16
"N","N",0,0.1297,1.904,22.89,137.53,265.11,3.21
"N","N",0,0.2729,2.263,4.7,89.21,308.94,2.55
"N","N",0,0.3427,2.219,7.11,41.28,257.43,2.29
"N","N",0,0.2862,2.248,3.66,16.35,315.92,2.48
"N","N",0,0.2876,2.217,6.36,265.49,29.63,2.35
"N","N",0,0.3313,2.279,23.09,36.54,79.11,2.58
"N","N",0,0.318,2.317,11.26,171.07,193.12,2.4
"Y","N",0,0.517,1.756,15.51,279.74,83.78,3
"N","N",0,0.2812,2.312,22.22,65.28,274.64,2.78
"Y","Y",0,0.5611,2.32,1.94,264.05,278.73,1.36
"N","N",0,0.4001,2.534,2.71,124.02,170.59,1.67
"N","N",0,0.1407,1.886,16.42,291.03,141.93,3.08
"N","N",0,0.2994,2.369,0.5,237.72,130.9,2.38
"N","N",0,0.2174,1.852,20.6,240.28,318.52,2.8
"Y","N",0,0.7521,2.152,16.25,191.94,40.6,1.4
"Y","N",0,0.6914,1.323,29.08,79.68,159.15,2.84
"Y","Y",0,0.5624,0.6371,3.44,193.25,56.43,4.03
"N","N",0,0.2841,2.27,8.78,317.18,23.67,2.49
"Y","N",0,0.1432,1.487,26.76,298.88,147.13,3.47
"N","N",0,0.3189,2.363,7.28,136.62,200.18,2.27
"N","N",0,0.1446,1.93,20.92,348.27,106.19,2.98
"Y","N",0,0.3305,1.933,3.5,184.35,292.21,2.56
"N","N",0,0.2543,2.22,6,99.75,266.49,2.69
"N","N",0,0.2669,2.237,5.35,350.13,39.44,2.63
"N","N",0,0.2893,2.288,8.13,19.78,315,2.46
"N","N",0,0.2792,2.274,5.91,339.16,4.21,2.49
"Y","N",0,0.3736,0.8554,17.19,99.41,205.21,4.04
"N","N",0,0.3662,2.586,8.44,107.59,176.96,1.64
"Y","N",0,0.6325,1.147,5.65,291.92,29.46,3.46
"Y","N",0,0.5634,1.248,17.34,329.23,343.38,3.36
"N","N",0,0.1452,1.918,18.83,351.54,37.73,3.28
"N","N",0,0.3229,2.445,5.46,110.01,295.39,2.19
"N","N",0,0.3695,2.588,7.1,132.12,285.77,1.88
"N","N",0,0.2013,1.939,15.2,107.78,289.66,3.13
"N","N",0,0.2997,2.158,3.24,271.17,46,2.5
"N","N",0,0.3229,2.426,13.26,12.65,312.97,2.25
"N","N",0,0.3266,2.346,3.14,58.97,240.7,2.13
"N","N",0,0.1306,1.914,21.37,242.97,243.28,3.12
"Y","N",0,0.1414,1.363,19.36,134.56,210,3.77
"Y","N",0,0.1708,1.373,12.37,325.36,212.81,3.38
"N","N",0,0.2399,2.171,5.23,325.16,26.63,2.74
"N","N",0,0.3459,2.133,6.39,67.38,252.99,2.47
"N","N",0,0.2874,2.296,20.31,146.82,292.97,2.49
"N","N",0,0.3364,2.24,8.84,56.32,283.02,2.46
"N","N",0,0.296,2.351,20.92,303.25,255.19,2.34
"Y","N",0,0.749,2.298,12.08,153.39,106.79,1.38
"N","N",0,0.3,2.102,5.3,126.67,248.45,2.74
"N","N",0,0.3838,2.656,9.08,351.16,351.94,1.74
"N","N",0,0.0678,1.753,15.33,314.26,103.7,3.29
"Y","N",0,0.3035,1.792,33.12,149.11,303.06,3
"Y","Y",0,0.439,1.788,6.72,317.12,44.08,2.9
"N","N",0,0.146,1.887,20.1,2.09,112.12,2.96
"Y","Y",0,0.7156,2.574,5.02,150.9,278.15,0.998
"N","N",0,0.3332,2.334,20.63,134.17,271.58,2.66
"N","N",0,0.2521,2.215,2.79,137.61,198.26,2.6
"N","N",0,0.2636,2.218,3.1,184.69,155.21,2.59
"N","N",0,0.2525,2.205,5.12,303.37,43.31,2.66
"N","N",0,0.297,2.301,9.25,51.78,331.64,2.48
"N","N",0,0.2454,2.11,5.27,316.81,342.84,2.59
"N","N",0,0.2994,2.191,5.44,264.31,54.36,2.48
"Y","Y",0,0.642,2.09,2.6,125.63,80.05,1.53
"N","N",0,0.236,2.14,3.89,284.18,6.17,2.53
"N","N",0,0.3617,2.483,2.07,159.04,157.08,1.93
"N","N",0,0.3649,2.317,5.31,253.84,98.17,2.32
"Y","Y",0,0.1186,1.039,8.71,53.85,301.96,4.03
"Y","N",0,0.5321,2.629,3.39,176.66,280.42,1.22
"N","N",0,0.3608,2.319,10.5,156.91,133.49,2.13
"Y","Y",0,0.2353,0.9338,6.5,326.95,300.6,3.91
"N","N",0,0.3178,2.283,5.93,102.18,180.84,2.15
"Y","Y",0,0.3547,1.299,23.3,135.55,292.44,3.63
"N","N",0,0.3101,2.377,6.45,120.94,232,2.33
"N","N",0,0.1449,1.9,26.11,107.15,69.16,3.04
"N","N",0,0.2458,2.204,5.98,127.61,246.02,2.73
"Y","N",0,0.5387,1.258,53.85,6.05,24.9,3.63
"Y","N",0,0.684,1.758,9.92,1.51,300.36,2.37
"N","N",0,0.3019,2.32,22.67,54.52,108.3,2.28
"N","N",0,0.2563,1.948,5.18,155.84,287.49,2.81
"N","N",0,0.2812,1.871,30.87,6.29,209.21,2.64
"N","N",0,0.3361,2.412,9.18,67.94,279.93,2.27
"Y","N",0,0.1212,0.9892,2.56,40.76,226.47,3.91
"Y","N",0,0.4535,2.03,23.77,283.54,203.35,2.25
"N","N",0,0.2713,2.225,3.32,204.18,151.45,2.62
"Y","N",0,0.4742,2.307,9.27,138.59,189.4,1.96
"N","N",0,0.235,2.175,1.84,208.01,106.89,2.6
"N","N",0,0.3036,2.3,6.11,354.43,323.03,2.33
"N","N",0,0.3859,2.155,4.72,200.06,118.03,2.36
"N","N",0,0.3338,2.387,21.48,144.41,287.06,2.43
"N","N",0,0.2779,2.284,6.19,49.67,355.72,2.49
"N","N",0,0.1373,1.848,21.64,200.62,271.28,3.09
"N","N",0,0.2823,2.253,5.51,94.05,235.48,2.47
"N","N",0,0.271,2.227,6.15,343.17,339.39,2.5
"N","N",0,0.2309,1.89,24.23,132.19,263.25,3.29
"N","N",0,0.3751,2.551,8.54,112.13,166.42,1.65
"N","N",0,0.3224,2.281,23.97,2.91,59.97,2.74
"N","N",0,0.2751,2.286,23.36,174.21,96.53,2.59
"N","N",0,0.2828,1.946,10.43,229.81,204.04,2.82
"N","N",0,0.1151,1.869,23.48,140.27,225.72,3.33
"N","N",0,0.1191,1.854,22.82,18.08,205.75,2.91
"N","N",0,0.2646,2.241,7.42,50.03,290.18,2.59
"N","N",0,0.2628,2.192,3.76,349.41,297.47,2.41
"Y","N",0,0.5115,1.847,7.88,146.05,163.88,2.51
"Y","N",0,0.6022,2.603,19.49,349.28,111.33,1.68
"N","N",0,0.3155,2.429,3.95,230,11.22,1.82
"N","N",0,0.3547,2.449,14.05,196.64,129.73,2.22
"Y","N",0,0.7075,2.016,15.96,168.47,167.14,1.98
"Y","Y",0,0.5151,2.133,7.35,116.2,182.58,2.01
"N","N",0,0.2661,2.228,3.07,7.3,329.59,2.56
"N","N",0,0.1225,1.757,34.5,198.25,339.59,3
"Y","N",0,0.337,1.813,0.51,36.16,126.57,2.56
"N","N",0,0.288,2.331,5.54,214.09,89.54,2.28
"N","N",0,0.2465,2.144,2.01,127.86,189.28,2.62
"N","N",0,0.2748,2.127,5.9,357.45,295.35,2.51
"N","N",0,0.1064,1.823,22.15,184.09,269.04,3.15
"N","N",0,0.32,2.377,24.17,35.14,48.27,2.47
"N","N",0,0.1894,1.947,25.35,157.21,101.04,3
"N","N",0,0.2831,2.269,4.58,231.05,72.11,2.35
"N","N",0,0.3916,2.339,5.6,176.96,136.86,2.08
"N","N",0,0.3224,2.42,10.27,19.67,311.01,2.23
"N","N",0,0.1915,1.907,24.91,99.42,272.68,3.32
"N","N",0,0.3262,2.199,7.81,117.47,231.24,2.52
"N","N",0,0.3364,2.427,21.56,186.29,237.53,2.43
"Y","N",0,0.6031,1.86,37,199.23,309.26,2.55
"N","N",0,0.2625,2.201,6.99,98.12,198.09,2.43
"N","N",0,0.3899,2.681,3.76,351.21,92.28,1.58
"Y","N",0,0.6903,2.888,13.35,85.02,279.23,1.21
"N","N",0,0.2451,2.145,3.03,50.11,304.08,2.76
"N","N",0,0.3065,2.367,5.4,38.63,265.26,2.18
"Y","Y",0,0.653,2.849,2,141.28,293.89,0.621
"N","N",0,0.2857,2.224,7.84,252.58,34.17,2.32
"N","N",0,0.2548,1.842,37.1,216.46,30.92,2.74
"N","N",0,0.2591,2.192,24.37,248.21,79.78,2.79
"N","N",0,0.2869,2.319,22.81,62.86,281.98,2.83
"Y","N",0,0.309,1.69,26.97,152.3,96.87,3.17
"N","N",0,0.3838,2.704,8.25,210.4,299.43,1.41
"Y","N",0,0.663,2.687,22.27,273.29,71.41,1.98
"N","N",0,0.2682,2.138,4.07,113.57,217.08,2.64
"N","N",0,0.1183,1.797,4.37,173.67,284.5,3.11
"N","N",0,0.3354,2.464,11.12,124.14,188.97,2
"N","N",0,0.3212,2.347,21.35,293.85,88.17,2.82
"N","N",0,0.3532,2.536,19.66,186.63,138.49,2.16
"Y","N",0,0.2742,0.9136,36.29,109.06,346.89,4
"N","N",0,0.346,2.397,6.9,61.57,255.61,2.13
"N","N",0,0.3199,2.403,3.84,19.34,261.22,2
"N","N",0,0.3363,2.461,13.09,77.11,267.63,2.29
"Y","Y",0,0.6755,1.114,3.05,189.85,231.07,3.5
"N","N",0,0.2554,2.16,4.58,237.47,40.81,2.42
"Y","N",0,0.3671,1.838,24.88,20.82,286.52,3.14
"Y","Y",0,0.5865,1.527,2.09,152.22,10.62,2.57
"Y","Y",0,0.4851,1.671,2.63,240.3,263.7,2.56
"N","N",0,0.3035,2.294,5.21,175.16,156.56,2.39
"N","N",0,0.3439,2.316,6.59,146.22,190.86,2.28
"N","N",0,0.3315,2.467,8.28,217.86,358.27,1.69
"Y","Y",0,0.4121,0.9137,5.21,205.05,211.34,4.07
"N","N",0,0.0652,1.397,9.33,275.31,327.86,3.52
"N","N",0,0.3058,2.321,1.62,285.93,105.85,2.42
"N","N",0,0.2704,1.996,6.74,66.11,345.45,2.85
"N","N",0,0.246,2.132,7.55,135.01,160.14,2.56
"N","N",0,0.2534,2.198,7.67,18.06,261.18,2.43
"N","N",0,0.2424,2.189,5.34,257.93,55.04,2.56
"Y","N",0,0.5323,2.762,4.17,151.81,159.66,1.08
"Y","N",0,0.4127,2.178,22.7,126.8,310.66,2.38
"N","N",0,0.3002,2.317,22.54,45.49,249.32,2.44
"N","N",0,0.3287,1.97,29.03,174.31,34.56,2.43
"N","N",0,0.2312,1.789,26.94,204.94,112.65,3.31
"N","N",0,0.267,2.247,2.6,259.3,70.93,2.52
"Y","Y",0,0.2618,1.181,4.72,173.79,66.42,3.51
"Y","N",0,0.198,1.321,43.88,306.23,58.61,3.85
"N","N",0,0.3649,2.532,10.04,307.78,52.41,2.09
"N","N",0,0.3722,2.608,4.56,261.48,74.51,1.85
"N","N",0,0.2753,2.289,5.52,280.76,44.06,2.43
"N","N",0,0.2967,2.316,5.51,336.24,49.63,2.48
"N","N",0,0.269,2.137,7.03,239.99,69.09,2.58
"N","N",0,0.3666,2.152,5.41,213.43,101.79,2.4
"N","N",0,0.3026,2.19,6.3,291.88,82.78,2.66
"Y","N",0,0.4779,1.626,28.49,148.25,109.03,3.11
"Y","Y",0,0.2705,1.23,13.01,168.26,45.22,3.42
"N","N",0,0.272,2.215,1.65,304.77,30.32,2.56
"Y","Y",0,0.7117,2.527,4.44,177.73,316.19,0.809
"N","N",0,0.2957,2.363,22.34,315.33,67.26,2.72
"N","N",0,0.2475,1.961,28.8,345.52,76.76,3.15
"N","N",0,0.4159,2.228,5.48,57.88,321.74,2.31
"N","N",0,0.2752,2.23,6.52,11.19,352.79,2.61
"N","N",0,0.3272,2.244,4.78,226.16,106.72,2.43
"N","N",0,0.2639,2.257,4.13,90.35,265.85,2.59
"N","N",0,0.2944,2.075,4.47,174.35,131.24,2.58
"Y","N",0,0.619,2.745,37.53,223.7,177.8,0.991
"Y","N",0,0.3854,1.724,11.24,48.1,347.67,3.05
"Y","N",0,0.6775,1.055,16.97,112.36,2.5,3.37
"Y","N",0,0.1927,1.196,12,214.07,265.08,3.67
"N","N",0,0.2449,2.122,1.94,266.84,30.38,2.56
"N","N",0,0.3185,2.229,4.07,71.05,211.89,2.22
"N","N",0,0.2773,2.298,23.79,224.89,130.4,2.73
"N","N",0,0.2924,2.308,4.42,149.01,108.48,2.09
"N","N",1,0.3414,2.306,22.72,23.93,74.88,2.61
"N","N",0,0.3535,2.348,22.84,106.48,285.81,2.61
"N","N",0,0.3803,2.437,22.58,163.35,255.97,2.53
"N","N",0,0.2699,2.159,5.86,95.43,277.18,2.73
"N","N",0,0.3109,2.272,7.78,291.24,40.7,2.41
"N","N",0,0.1934,1.83,14.52,278.87,146.46,3.11
"N","N",0,0.307,2.369,5.91,193.45,144.98,2.32
"N","N",0,0.3606,2.473,12,115.76,273.1,2.23
"N","N",0,0.2592,2.171,3.42,248.66,46.18,2.47
"N","N",0,0.2343,2.166,2.83,176.97,119.83,2.53
"Y","N",0,0.5479,2.196,11.03,167.5,314.5,1.8
"Y","N",0,0.7333,1.357,53.13,281.03,203.81,2.97
"Y","N",0,0.2821,1.053,20.02,212.18,357.39,3.61
"N","N",0,0.3265,2.352,6.85,200.24,131.92,2.3
"N","N",0,0.2582,2.229,3.73,290.25,67.25,2.65
"N","N",0,0.2785,2.288,5.65,289.45,79.5,2.58
"N","N",0,0.2948,2.312,23.39,355.25,92.85,2.58
"N","N",0,0.1141,1.654,9.84,7.1,354.99,3.49
"N","N",0,0.3896,2.648,30.44,192.86,109.58,2.5
"N","N",0,0.4006,2.773,5.82,353.24,31.15,1.61
"N","N",0,0.3227,2.404,22.52,341.4,239.88,2.13
"N","N",0,0.3317,2.416,4.74,285.64,59.62,2.22
"Y","N",0,0.5376,2.484,5.78,40.44,319.67,1.64
"N","N",0,0.3797,2.612,27.35,328.61,118.24,2.03
"N","N",0,0.2932,2.196,7.52,49.06,237.13,2.36
"N","N",0,0.2579,2.243,4.97,314.03,333.45,2.36
"N","N",0,0.2852,2.268,3.81,37.11,322.82,2.53
"N","N",0,0.278,2.272,23.61,326.82,246.11,2.4
"N","N",0,0.3062,2.281,20.8,225.13,116.91,2.76
"N","N",0,0.2827,2.29,1.83,13.32,6.06,2.52
"N","N",0,0.2969,2.323,5.94,217.8,87.59,2.28
"N","N",0,0.0992,1.773,5.42,357.72,117.41,3.11
"Y","N",0,0.3779,1.457,51.35,190.99,290.55,3.41
"N","N",0,0.2947,2.313,11.12,202.93,103.04,2.39
"N","N",0,0.2965,2.31,5.46,359.93,7.32,2.46
"N","N",0,0.3356,2.393,22.14,10.33,113.4,2.17
"N","N",0,0.2907,2.332,7.13,306.81,41.2,2.43
"N","N",0,0.1219,1.841,24.22,4.68,355.37,3.34
"N","N",0,0.2243,2.121,2.31,157.15,150.82,2.65
"N","N",0,0.2936,2.155,6.81,3.99,7.69,2.67
"N","N",0,0.1621,1.92,22.43,84.66,254.03,3.13
"Y","Y",0,0.5951,1.901,3.69,109.45,43.48,1.98
"N","N",0,0.1609,1.89,24.08,101.67,260.55,3.27
"N","N",0,0.1652,1.995,3.44,130.8,72.21,2.64
"Y","N",0,0.7055,2.535,13.87,231.14,40.89,1.04
"N","N",0,0.2966,2.291,8.94,84.7,197.31,2.18
"N","N",0,0.2394,2.186,5.16,157.73,113.31,2.41
"Y","Y",0,0.6568,2.017,0.91,20.27,235.19,1.73
