"neo","pha","sats","e","a","i","om","w","moid_jup"
"Y","N",0,0.4545,2.034,5.93,218.58,349.4,2.01
"N","N",0,0.3131,2.349,25.02,43.41,229.67,2.2
"Y","N",0,0.3691,1.879,4.77,107.33,16.1,2.53
"Y","N",0,0.7474,2.466,21.07,242.24,63.71,1.77
"Y","Y",0,0.3232,1.21,2.65,188.44,302.65,3.46
"Y","Y",0,0.4685,0.9895,9.92,152.4,55.09,3.52
"N","N",0,0.2801,2.14,26.33,266.68,240.07,2.67
"N","N",0,0.2976,2.349,22.01,25.6,95.9,2.39
"N","N",0,0.3583,2.368,21.8,322.29,108.73,2.41
"N","N",0,0.2795,2.132,4.85,357.83,303.7,2.52
"N","N",0,0.2071,1.918,22.07,19.87,293.83,3.17
"N","N",0,0.3075,2.393,12.71,184.32,112.92,2.27
"N","N",0,0.4569,2.717,29.7,129.36,283.68,2.28
"Y","N",0,0.4868,2.093,9.51,173.77,193.3,2.34
"Y","N",0,0.7073,4.27,31.05,349.97,316.49,0.426
"Y","N",0,0.32,1.645,36.77,232.49,288.9,3.18
"Y","N",0,0.2806,0.974,23.36,358.6,359.41,4.19
"N","N",0,0.4064,2.772,28.87,217.41,107.53,2.42
"N","N",0,0.0844,1.795,19.22,235.3,249.18,3.2
"Y","Y",1,0.5438,2.197,13.53,82.02,204.43,1.83
"N","N",0,0.3755,2.361,21.03,296.8,98.23,2.63
"Y","N",0,0.2845,1.774,20.35,348.69,235.06,2.83
"N","N",0,0.3966,2.407,20.13,288.14,85.51,2.62
"Y","N",0,0.3015,1.414,55.56,147.95,312.23,3.39
"Y","N",0,0.5149,0.9978,19.8,126.19,43.88,3.52
"Y","Y",0,0.4459,1.835,3.87,74.93,17.24,2.58
"N","N",0,0.0756,1.578,14.85,95.41,115.85,3.32
"N","N",0,0.3896,2.195,12.02,170.11,174.19,2.37
"Y","N",0,0.7027,1.505,29.2,235.46,49.73,2.88
"N","N",0,0.134,1.892,24.21,8.34,87.63,3.06
"N","N",0,0.2427,2.189,7.71,347.9,335.23,2.61
"N","N",1,0.1338,1.892,23.36,250.01,267.71,3.07
"Y","N",0,0.459,1.928,2.19,261.19,126.66,2.65
"N","N",0,0.2713,2.255,9.04,116.32,237.62,2.59
"Y","N",0,0.3167,1.545,10.77,229.78,86.96,3.3
"Y","Y",0,0.6309,2.626,2.8,266.72,95.52,1.22
"Y","Y",0,0.444,1.059,11.17,157.86,296.7,3.69
"Y","N",0,0.326,1.82,23.25,164.81,154.38,3
"N","N",0,0.1513,1.911,26.49,60.61,55.37,3.17
"Y","Y",0,0.6247,2.543,0.45,125.37,277.86,1.29
"Y","Y",0,0.6362,1.981,6.67,294.35,237.02,1.8
"Y","N",0,0.7725,2.295,12.6,6.98,122.58,1.27
"N","N",0,0.1491,1.727,16.48,276.5,110.04,3.44
"N","N",0,0.2963,2.367,3.74,206.8,217.86,2.28
"Y","N",0,0.4684,1.647,40.72,169.14,278.96,3.37
"N","N",0,0.2036,2.01,21.02,76.84,3.64,2.86
"Y","N",0,0.6801,1.834,11.84,108.02,15.83,2.04
"Y","N",0,0.5634,2.584,26.62,22.75,68.19,2.24
"N","N",1,0.3348,2.316,21.94,330.72,110.53,2.43
"Y","Y",0,0.5866,1.442,5.52,311.67,292,2.76
"N","N",0,0.3836,2.604,27.81,219.34,110.19,2.53
"Y","Y",0,0.66,2.206,3.03,82.18,169.26,1.39
"Y","N",0,0.2965,1.73,16.41,198.1,173.97,3.22
"Y","N",0,0.5248,2.704,2.51,45.94,76.24,1.01
"Y","N",0,0.2501,1.042,14.14,23.94,333.84,4.14
"N","N",0,0.3629,2.198,22.18,254.79,94.39,2.89
"Y","Y",0,0.3569,1.023,4.92,180.2,255.39,3.88
"N","N",0,0.5088,2.658,24.64,180.35,83.9,2.01
"Y","N",0,0.52,2.239,37.07,154.18,248.43,2.87
"Y","Y",0,0.3588,1.485,1.45,313.11,159.54,3.11
"Y","N",0,0.5179,2.233,6.37,241.23,213.83,1.86
"Y","Y",0,0.4832,1.063,8.89,325.5,121.45,3.67
"N","N",0,0.4531,2.393,9.28,336.43,7.85,1.94
"N","N",0,0.3247,2.441,5,180,154.98,2.16
"Y","N",0,0.1684,1.37,15.65,215.42,192.96,3.78
"Y","Y",0,0.6575,1.621,24.38,77.53,77.93,2.74
"Y","N",0,0.4494,2.001,17.43,358.4,52.62,2.7
"Y","N",0,0.2188,1.565,35.01,254.88,97.46,3.59
"N","N",0,0.3121,2.34,20.61,321.94,89.02,2.69
"Y","Y",0,0.5002,1.636,7.41,10.62,105.96,2.7
"N","N",0,0.2826,2.311,10.93,65.61,219.52,2.22
"N","N",0,0.1547,1.936,41.45,82.28,184.8,2.85
"Y","N",0,0.5689,1.486,36.45,110.33,135.88,3.02
"Y","N",1,0.7712,1.835,8.98,309.1,228.21,1.81
"Y","Y",0,0.4782,1.552,3.58,135.05,159.96,2.92
"N","N",0,0.3752,2.398,20.68,195.19,266.35,2.4
"N","N",0,0.2835,2.224,5.63,180.91,140.31,2.49
"N","N",0,0.225,1.974,28.76,71.22,69.32,3.04
"N","N",1,0.0649,1.523,20.28,245.01,95.54,3.52
"N","N",0,0.2539,2.199,6.06,236.04,108.56,2.69
"Y","N",0,0.6063,2.979,19.66,352.02,321.18,1
"Y","N",0,0.4556,2.163,25.52,142.76,306.09,2.37
"N","N",0,0.4688,2.783,28.49,1.27,81.25,2.4
"Y","N",0,0.637,3.318,19.17,177.78,161.28,0.375
"Y","N",1,0.2964,0.9474,48.97,58.53,37.43,4.17
"N","N",0,0.3438,2.349,22.05,56.08,96.54,2.28
"N","N",1,0.278,1.838,11.39,117.65,108.96,2.7
"Y","N",0,0.6342,2.437,68.02,101.02,117.92,2.66
"N","N",0,0.2449,2.19,5.69,109.2,234.74,2.68
"N","N",0,0.3986,2.713,28.59,264.79,76.13,2.29
"Y","N",0,0.5443,2.401,18.04,189.28,87.61,1.96
"Y","N",0,0.2801,0.9863,14.18,216.25,34.49,3.76
"Y","Y",0,0.4065,0.93,4.7,311.94,82.77,4.13
"Y","N",0,0.4227,2.159,7.87,128.64,153.74,2.11
"N","N",0,0.3862,2.302,5.55,278.88,5.16,1.98
"Y","N",0,0.4545,2.195,3.85,173.08,231.9,2.23
"N","N",0,0.1266,1.819,22.2,151.26,57.19,2.99
"N","N",0,0.3326,2.316,24.95,310.04,39.14,2.45
"Y","N",0,0.3873,1.355,13.51,45.7,48.28,3.39
"Y","N",1,0.4358,2.144,7.91,14.07,335.82,2.36
"N","N",0,0.3365,2.28,21.73,3.33,62.7,2.69
"Y","N",0,0.3044,1.794,6.87,9.88,122.65,2.73
"Y","N",0,0.762,1.786,38.14,302.11,127.06,2.84
"N","N",0,0.2983,2.297,7.96,212.74,138.61,2.49
"Y","Y",0,0.5851,1.271,5.06,96.98,258.98,3.43
"N","N",0,0.3077,2.293,23.47,47.73,82.12,2.54
"Y","N",0,0.6524,2.265,11.2,280.59,218.44,1.44
"N","N",0,0.4054,2.221,22.45,240.5,253.37,2.47
"N","N",0,0.4815,2.732,21.78,239.28,246.32,1.83
"Y","N",0,0.4253,2.101,16.07,121.63,25.44,2.08
"Y","N",0,0.8268,1.082,23.22,161.28,8.39,3
"Y","N",0,0.4443,1.894,4.19,298.91,168.66,2.43
"N","N",0,0.3405,2.408,21.1,340.44,82.77,2.59
"Y","N",0,0.6949,1.698,30.18,125.34,152.87,2.45
"Y","N",0,0.5383,2.439,7.93,238.59,78.15,1.7
"Y","N",0,0.5073,2.221,19.51,168.68,115.72,2.24
"N","N",0,0.252,1.821,35.07,202.13,105.53,3.27
"Y","N",0,0.3214,1.812,17.92,227.84,230.86,2.95
"N","N",0,0.4205,2.79,28.97,153.61,272.32,2.34
"Y","N",0,0.2891,1.625,21.58,145.82,355.79,2.94
"N","N",0,0.3038,2.358,23.02,126.28,277.99,2.67
"N","N",0,0.3051,2.281,23.17,71.1,71.3,2.5
"Y","Y",0,0.4996,1.272,3.51,182.15,242.36,3.44
"N","N",0,0.3243,2.446,9.91,199.43,102.49,2.13
"N","N",0,0.4565,3.042,15.88,88.57,286.2,1.54
"Y","N",0,0.3521,1.455,23.47,6.06,103.82,3.31
"Y","N",0,0.4372,2.202,6.41,88.15,285,2.32
"Y","N",0,0.5284,2.147,21.58,318.22,74.95,2.69
"Y","N",0,0.7625,2.22,4.96,169.01,337.63,1.14
"N","N",0,0.5409,2.978,23.73,139.31,189.67,0.792
"N","N",0,0.143,1.818,16.46,284.75,145.88,3.17
"N","N",0,0.3184,2.353,22.57,11.74,103.63,2.33
"N","N",0,0.4389,2.569,15.89,218.5,194.21,1.72
"Y","N",0,0.5848,2.814,4.31,64.48,127.47,0.526
"N","N",0,0.2888,2.306,19.69,274.63,116.38,2.66
"Y","Y",0,0.4125,1.151,3.94,344.48,239.78,3.36
"N","N",0,0.142,1.914,28.11,221.66,151.53,3.28
"N","N",0,0.3497,2.356,21.84,163.71,293.3,2.31
"N","N",0,0.4608,2.517,25.82,70.99,12.34,1.67
"N","N",0,0.4671,2.52,28.39,173.62,297.74,2.06
"N","N",0,0.3014,2.271,8.74,119.78,268.09,2.55
"N","N",0,0.4178,2.762,28.61,157.18,272.43,2.34
"N","N",0,0.3046,2.23,6.06,97.98,269.16,2.57
"N","N",0,0.2959,2.317,23.57,156.99,253.54,2.8
"Y","N",0,0.5729,2.24,37.34,26.89,262.74,2.84
"Y","N",0,0.4088,2.193,8.22,313.56,347.16,2.16
"N","N",0,0.1474,1.91,20.46,234.23,151.21,3.25
"N","N",0,0.3041,2.358,21.26,187.41,92.98,2.45
"Y","Y",0,0.6188,2.477,2.26,208.71,69.53,1.16
"N","N",0,0.4063,2.662,17.17,286.47,29.09,1.64
"Y","Y",0,0.5921,2.504,6.15,299.98,326.21,1.16
"N","N",0,0.4178,2.754,29.32,186.1,255.35,2.36
"N","N",0,0.4178,2.648,26.63,354.75,284.76,2.3
"N","N",0,0.2659,1.882,45.31,194.54,330.56,2.66
"Y","N",0,0.2207,1.626,22.64,111.45,167.39,3.18
"N","N",0,0.3583,2.371,22.37,0.5,60.35,2.57
"Y","N",0,0.4845,1.696,8.7,230.76,281.61,2.56
"N","N",0,0.2894,2.321,24.58,48.46,53.16,2.55
"N","N",0,0.2809,2.242,7.58,78.17,224.26,2.38
"N","N",0,0.4664,2.725,38,308.22,75.56,2.59
"N","N",1,0.3321,2.357,4.58,193.19,144.04,2.27
"Y","N",0,0.315,1.476,12.61,146.59,323.48,3.2
"N","N",0,0.295,2.288,3.88,202.57,121.83,2.39
"Y","N",1,0.3903,1.981,8.3,102.61,354.78,2.45
"Y","N",0,0.6937,2.545,17.79,56.7,94.78,1.51
"N","N",0,0.503,2.776,11.15,146.45,258.07,1.49
"Y","N",0,0.5637,2.722,16.69,307.58,339.07,1.05
"N","N",0,0.3376,2.352,22.6,359.26,130.25,2.08
"N","N",0,0.4244,2.618,9.61,109.38,114.63,1.38
"N","N",0,0.3014,2.357,21.64,191.06,253.16,2.63
"Y","Y",1,0.4845,1.773,15.16,61.26,232.34,2.66
"Y","N",0,0.482,2.306,7.2,174.42,181.55,2.03
